Repository,User,EventType,Comment
cachethq/Cachet,GrahamCampbell,IssueCommentEvent,"No, you'd need to pull it down to a branch on this repo. I can do that for you if you like."
owncloud/shorty,arkascha,IssueCommentEvent,"* About the logic to collapse a single column or to instead collapse all other columns if a title is clicked: 
The original idea was to allow to define how one does to have the table looking ""normally"". Note that the app stores which columns are collapsed and which are expanded. It will render the table the same when you use the app the next time. The feature was meant to allow temporarily expand single columns for a better overview. 

Let's see if there is a way to get both ideas into a single solution :-)"
sdelements/lets-chat,tvvocold,IssueCommentEvent,Hope u guys can make it Cooler  than irc / hangouts!
WorldCretornica/PlotMe-Core,Burockk,IssueCommentEvent,"Happens this everytime :S 


[16:33:54] [Craft Scheduler Thread - 27/WARN]: [PlotMe] Invalid name found : byher0,. Removing from database.
[16:33:54] [Craft Scheduler Thread - 27/WARN]: [PlotMe] Invalid name found : cyantr,. Removing from database.
[16:33:54] [Craft Scheduler Thread - 27/WARN]: [PlotMe] Invalid name found : dod2003%. Removing from database.
[16:33:55] [Server thread/INFO]: /78.179.235.61:3807 lost connection: Disconnected
[16:33:55] [Server thread/INFO]: /78.179.235.61:3819 lost connection: Disconnected
[16:33:55] [Server thread/INFO]: /78.179.235.61:3826 lost connection: Disconnected
[16:33:55] [Craft Scheduler Thread - 27/WARN]: [PlotMe] Invalid name found : kadÄ°reÄ°ss. Removing from database.
[16:33:55] [Craft Scheduler Thread - 27/WARN]: [PlotMe] Invalid name found : maninkÅŸblaze. Removing from database.
[16:33:55] [Craft Scheduler Thread - 27/WARN]: [PlotMe] Invalid name found : mechtechxÃ¼. Removing from database.
[16:33:55] [Craft Scheduler Thread - 27/WARN]: [PlotMe] Invalid name found : sabalÄ°ne. Removing from database.
[16:33:55] [Craft Scheduler Thread - 27/WARN]: [PlotMe] Invalid name found : ssÄ°ipahi. Removing from database.
[16:33:55] [Craft Scheduler Thread - 27/WARN]: [PlotMe] Invalid name found : straom_,. Removing from database.
[16:33:55] [Craft Scheduler Thread - 27/WARN]: [PlotMe] Invalid name found : thekillerfm%. Removing from database.
[16:33:55] [Craft Scheduler Thread - 27/WARN]: [PlotMe] Invalid name found : xbeave%. Removing from database.
[16:33:55] [User Authenticator #1/INFO]: UUID of player Furkan_Erg is 2e3a1c30-2eab-35ff-ae46-6f1ea3d0179c
[16:33:55] [Craft Scheduler Thread - 27/WARN]: [PlotMe] Invalid name found : xxx_crafterler_xxx. Removing from database.
[16:33:55] [Craft Scheduler Thread - 27/WARN]: [PlotMe] Invalid name found : yasÄ±n. Removing from database.
[16:33:55] [Craft Scheduler Thread - 27/WARN]: [PlotMe] Invalid name found : yiÄŸit244. Removing from database.
[16:33:55] [Craft Scheduler Thread - 27/WARN]: [PlotMe] Invalid name found : yiÄŸithan. Removing from database.
[16:33:55] [Craft Scheduler Thread - 27/WARN]: [PlotMe] Invalid name found : Ã–mer. Removing from database.
[16:33:55] [Craft Scheduler Thread - 27/WARN]: [PlotMe] Invalid name found : Ä±Ä±evil. Removing from database.
[16:33:55] [Craft Scheduler Thread - 27/INFO]: [PlotMe] Fetching 2291 UUIDs from Mojang servers..."
Antaris/RazorEngine,matthid,IssueCommentEvent,Any chance of a repro. I did not manage to get Ironpython do anything :(
laravel/framework,ibrasho,IssueCommentEvent,"Just to know, why is it different?"
foss-np/batti,samundra,IssueCommentEvent,"You have to install it. Try using the below command

```bash
sudo apt-get install poppler-utils
```"
Wcc723/google_design_translate,appleboy,IssueCommentEvent,@yyc1217 :+1: 
ValveSoftware/steam-for-linux,Tele42,IssueCommentEvent,"This appears to be referencing TF2. You can click and drag screenshots into the dialog box below this message, or click the ""selecting them"" button below. Please include some of your system information with this issue report."
mozilla/jpm,chocolateboy,IssueCommentEvent,"`/usr/bin/firefox` isn't a binary:

```sh
file /usr/bin/firefox
/usr/bin/firefox: symbolic link to `../lib/firefox/firefox.sh'
```

The path resolution code in `normalizeBinary` (`lib/utils.js`) looks like it's meant to probe (e.g.):

* ""firefox on linux"": ""/usr/lib/firefox""
* ""firefox on linux(64)"": ""/usr/lib64/firefox""

but instead probes:

* ""firefox on linux(64)"": ""/usr/lib64/firefox""
* ""firefox on linux(64)(64)"": undefined

But even the ""correct"" paths don't work: they're directories. On my system (Ubuntu 14.04), the binary is in: `/usr/lib/firefox/firefox`. The only reference to any of the other paths I can find (@shosca) is: [`/usr/lib/firefox-nightly/firefox-nightly`](https://github.com/shosca/-pkgbuild-mozilla-git/blob/master/firefox-nightly/firefox-nightly.desktop).

Note: `arch` is still being appended to `platform` on Windows even though it isn't used (the lookup table is no longer being used for Windows paths). Someone else can clean that up :-)"
MizzleDK/Mizuu,MizzleDK,IssueCommentEvent,"The NFO file code is unrelated to the code that handles custom cover art :-)
On Jan 1, 2015 3:34 PM, ""srirams"" <notifications@github.com> wrote:

> It doesn't seem to be working for me.
>
> In SmbMovie.java:
>
> addNfoFile(MizLib.removeExtension(file.getCanonicalPath()), file.getInputStream());
>
> While in MovieIdentification.java
>
>             String nfo1 = ms.getFilepath().replaceAll(""part[1-9]|cd[1-9]"", """").trim();
>             String nfo2 = MizLib.convertToGenericNfo(ms.getFilepath());
>
>             if (mNfoFiles.containsKey(nfo1)) {
>                 new NfoMovie(ms.getFilepath(), mNfoFiles.get(nfo1), mContext, mCallback, mCount);
>             } else if (mNfoFiles.containsKey(nfo2)) {
>                 new NfoMovie(ms.getFilepath(), mNfoFiles.get(nfo2), mContext, mCallback, mCount);
>             } else {
>                 match = false;
>             }
>
> So I don't think the .nfo files will ever match (unless I'm missing
> something).
>
> —
> Reply to this email directly or view it on GitHub
> <https://github.com/MizzleDK/Mizuu/issues/498#issuecomment-68487927>.
>"
mooz/js2-mode,theefer,IssueCommentEvent,"This is awesome, a massive thank you to both @cowboyd and @dgutov! I've been using ES6 with js2-module for a while now, and import/export support was the main frustration until now. Really happy to see this go in, many thanks!"
HearthStats/HearthStats.net-Uploader,tyrcho,IssueCommentEvent,another one : Burly Rockjaw Trogg and Fel Cannon instead detected of Ironbeak Owl and Kill Command (in Hunter deck)
matthieugrieger/mumbledj,matthieugrieger,IssueCommentEvent,"CELT compatibility would require an update to [`gumble`](https://github.com/layeh/gumble), but I doubt it would be implemented since CELT is now obsolete.

Is there a reason you need to use CELT? If you are using a Mumble server provider try asking them to switch your server to Opus if they do not give you the option to change it yourself."
TTMTT/iCL0udin,rickygm,IssueCommentEvent,server is down?
docker/machine,ehazlett,IssueCommentEvent,"+1
On Dec 31, 2014 2:19 PM, ""Ben Firshman"" <notifications@github.com> wrote:

> This will make updating the format of config.json less of a PITA in the
> future. We can have some kind of upgrade procedure that knows how to
> migrate config versions.
>
> —
> Reply to this email directly or view it on GitHub
> <https://github.com/docker/machine/issues/190>.
>"
vim-jp/vimconf,haya14busa,IssueCommentEvent,"@koron I'm really sorry for the late reply. :bow:

 I registered Google+ account now and I want to work on editing English subtitles when I get some free time."
quiksort/quiksort.github.io,bitsch,IssueCommentEvent,"it says i dont have admin rights of quiksort!!
if u wish i can add u as collaborator"
laravel/framework,GrahamCampbell,IssueCommentEvent,Don't think so?
KirkMunro/SnippetPx,KirkMunro,IssueCommentEvent,"Sorry for the delay.  I've been away on holiday.  For all of my modules, all source code is on GitHub.  The model I follow is as follows:

master branch: contains the unsigned PowerShell module files
release branch: contains the signed PowerShell module files
assembly branch: contains the binary module source (if there is a binary module involved)

This model allows me to separate the PowerShell files needed to deploy a module from the C# code I use to write the nested binary module (if one is present).

For SnippetPx, just look in the assembly branch.  All of the binary source is there."
plainmade/unmark,cdevroe,IssueCommentEvent,"@su You're right. This is probably superfluous and could easily confuse someone that is new to PHP or database setups. We had this logic simply to allow both for local development and pushing to a remote server. However, I'm guessing that in most cases people that use Unmark locally aren't deploying it anywhere.

This logic could be removed from the sample file. No doubt. "
OpenELEC/OpenELEC.tv,fritsch,IssueCommentEvent,Btw. keep things running and see if you get other hangs with different messages.
JuliaLang/julia,timholy,IssueCommentEvent,"It also appears to me that `x[2]` gets hashed twice, because `tail` only discards the first item. Is that really what we want?
"
laravel-taiwan/php-the-right-way,appleboy,IssueCommentEvent,@thebrecht Thanks.
openwebwork/webwork2,jwj61,IssueCommentEvent,"The thinking was that pi is a symbol of math, and the border represents it being an object.  Other suggestions people had for the icon were to use a tiny picture of Davide, or to have the 3-d pi spinning (to make it clear it was an object and not just a math symbol).  Compared to those, the current icon is probably looking pretty good now."
openpatata/openpatata,akuckartz,IssueCommentEvent,Most if not all scraper projects use a scraping framework or library. And they might have already thought about or implemented features you will need or like. In other words: you might benefit from not reimplementing wheels. On the other hand you would have to spend some time reviewing what others have done.
AppliedEnergistics/Applied-Energistics-2,thatsIch,IssueCommentEvent,"This happens if you try to craft very NBT heavy items. The problem lies within the fact, that you can not just use an existing NBT Tag but need to copy it to prevent modification from other sources.

There is also the problem, that you probably want to craft a very high tier item which requires a lot of steps. If you reduce the amount of steps done one at a time, you reduce the overall calculation time done at once. 

Example:

If you want to create a boat, **dont** craft it from logs, **but** tell your system to auto-craft wood-planks first to pre-provide the materials needed if you request a boat."
MizzleDK/Mizuu,MizzleDK,IssueCommentEvent,"Agreed, but it's impossible to do with UPnP files. Or rather, it's
impossible to do it in a sane way.
On Jan 1, 2015 3:22 PM, ""jcdeoferio"" <notifications@github.com> wrote:

> The current filters for File Sources are:
>
>    - SMB network share
>    - On Device
>    - DLNA/UPnP
>
> It's better to have a filter per file source added. For example, if you
> have 2 file sources: Anime and American Shows. You should be able to filter
> only the Anime Shows.
>
> —
> Reply to this email directly or view it on GitHub
> <https://github.com/MizzleDK/Mizuu/issues/503>.
>"
lemire/javaewah,lemire,IssueCommentEvent,"@gssiyankai 

In practice, when doing memory-file mapping, we are going to work from a ByteBuffer. It is how the Java API works.

Cheers!"
CienProject2014/OneLevelHero,yuinacor,PullRequestReviewCommentEvent,"함수의 역할은 단일 책임 원칙에 따라 한가지 일만 하는 것이 좋습니다.
값의 연산과 화면의 갱신은 서로 다른 일이라고 생각되고요.

액션이 있을 때 마다 화면 갱신이 일어나야 할텐데, 그렇다면 여기 이외에도 화면 갱신이 필요한 곳이 있다면 같은 코드가 중복해서 들어가게 될 것 같습니다.

화면의 업데이트를 60프레임 주기로 지속적으로 하고싶지 않다면, UI스레드를 별도로 사용하기 보다, 이벤트 스레드를 활용하여 비동기적으로 화면 업데이트를 유발시키는 방법이 좋을 것 같습니다.

그렇다면 이곳에 코드를 두기 보다, abstract method로, 로직 실행 후 화면 갱신을 유발하는 메서드를 만드는 것도 좋을 것 같습니다."
yairEO/stickyfloat,guyisra,IssueCommentEvent,+1
numpy/numpy,rgommers,IssueCommentEvent,"I think Pearu has a point: it is already possible to switch these deprecations on/off by compiling with

    -DNPY_NO_DEPRECATED_API=NPY_1_7_API_VERSION

or in a ``setup.py`` using this kwarg to ``add_extension``:

    define_macros=[(""NPY_NO_DEPRECATED_API"", ""NPY_1_7_API_VERSION"")]

This is actuall better than ``--no-deprecated-api`` because it allows setting a specific API version.

I'm going to try to use ``define_macros`` for every Scipy extension module; if that works without any unpleasant surprises then I propose to just keep the first commit from this PR."
genworks/gendl,ackalker,IssueCommentEvent,"Quick hackedyhack fix, replace:
```lisp
(merge-pathnames ""quicklisp/dists/quicklisp/distinfo.txt""
                                  glisp:*genworks-source-home*)
```
with
```lisp
(merge-pathnames ""../distinfo.txt""
                                  glisp:*genworks-source-home*)
```

and recompile. This made the simple test of visiting http://localhost:9000/tasty work for me.

Happy New Year!"
coderly/ember-gdrive,begedin,IssueCommentEvent,"OK, I'll close this. 

However, since we're abandoning the concept, I could also make sure it isn't used and then also get rid of anything related to `CollaborativeList` in the addon. Mainly, this is now in the `addon/lib/list-reference` file, but there's related code in `map-reference` as well.

Task #35 was created for this purpose."
Murodese/pynab,Murodese,IssueCommentEvent,"Yeah, pretty sure I know what's causing it. I can fix the releases retroactively, but it'll have to wait until I get back - about a week. Does it happen with most new releases, or just a few? Run this select for me as well:

`select count(*) from releases where size is null and passworded = ""UNKNOWN"";`"
laravel/framework,GrahamCampbell,IssueCommentEvent,We need to evaluate it each time since we are modifying it during each iteration. I don't want to change the behaviour of anything in this pull.
moiri/kobold,moiri,IssueCommentEvent,I do now: this is set explicitly to prevent the character from jumping on obstacles he is not supposed to reach.
TTMTT/iCL0udin,MohammedNawar,IssueCommentEvent,cant we make a waiting list for server orders :D
yiisoft/yii2,qiangxue,IssueCommentEvent,It's caused by this change: https://github.com/yiisoft/yii2/issues/3749
ghiden/angucomplete-alt,htatuan,IssueCommentEvent,Ok. But  i can show the dropdown again as you want when focusin. I will send it to you tomorrow. I left my code at company
Kennyc1012/OpenImgur,Kennyc1012,IssueCommentEvent,"All of those links work fine for me on several different devices (Nexus 5/6/7, One+1). However, it appear they are all gifv(mp4) images, which could possibly be the reason (not exactly sure why though). Try clearing the image cache from the settings Menu (From the nav drawer Settings -> Cache -> Current Cache Size -> Yes. 

If this doesn't work, uninstall/reinstall the app might clear it up. 

Also, can you list details about the device you are using, Model, Android version, Amount of space left on device etc... "
syl20bnr/spacemacs,syl20bnr,IssueCommentEvent,"@CestDiego @danielwuz last thing, do we need to put something in the layer README?"
HearthStats/HearthStats.net-Uploader,tyrcho,IssueCommentEvent,Idea : we should check the class cards and warn (before submit button is available) if the deck is invalid (<30 cards)
yyx990803/vue,triplekdev,IssueCommentEvent,"@TMiguelT and @builtap Thanks guys.. the reason I am doing this is to make something like a library of Component for a frontend I am making, something like a common admin cp type of applications, that has a lot of components that can be added and such.. I admit some documentations with vuejs are so far very basic and some sample application uses the vue-loader which i am only using plain javascript.. Thanks again for the pointers, appreciated it and happy new year!"
Raimondi/delimitMate,Raimondi,IssueCommentEvent,"My bad, I have pushed the relevant commit now."
nobelium/dalalstreet,nobelium,IssueCommentEvent,"Compiling templates and cacheing it is a bit low level task and I wanted a framework to handle all those things. Its unnecessarily distracting from the main objective of building the app. I wanted something which does those things for me.
In short, Gorilla is the best choice if we are planning on building a SOA. Since all that we want is a web app, building each part of the service is like reinventing the wheel. We can also start over with Martini if you want."
Makki1/knxd,christianwicke,IssueCommentEvent,"Hello Richard, will you put your debian branch on github, so that everybody can create deb-packages?
If it is welcomed, I can contribute to the packaging. I have support for running knxd under a separate user (modified init.d skript, a .service-file and preinst/postrm-scripts to add/delete the user). And it also sets up the udev rules that Martin Kögler once posted. I'm not a packaging expert though, so you probably have to review whether everything is ok."
rstudio/rticles,hadley,IssueCommentEvent,Why do you expect this to work? There's no features/ctex branch. 
Cockatrice/Cockatrice,Daenyth,IssueCommentEvent,"@woogerboy21 Can you make a windows build from this branch?

Or @ideocl4st you can try following the windows build instructions on the github wiki on the right"
OpenRA/OpenRA,Mailaender,IssueCommentEvent,That will also make doing your fixes with `git amend` a lot easier.
scipy/scipy,rgommers,IssueCommentEvent,"I had originally a version with several subplots, hence needed the saner API. I can change it."
owncloud/client,tflidd,IssueCommentEvent,"In the meantime, I'm using newer versions of owncloud and owncloud-client and don't experience this issue any more. It was probably solved by a different fix."
nvkzNemo/UberSplash,nvkzNemo,IssueCommentEvent,$8 http://uberplugins.cc/uberframe/
Murodese/pynab,Murodese,IssueCommentEvent,Yeah that's from #109. See ukharley's comment for a temp fix.
pyload/pyload,morgriv,IssueCommentEvent,Here you go: http://pastebin.com/W9wxcnDU
seenthis/seenthis_squelettes,archiloque,IssueCommentEvent,Ça signifie que pour chaque article il faut une case à cocher indiquant si je veux être notifié des commentaires sur cet article en particulier ?
orgsync/active_interaction,tfausak,IssueCommentEvent,I already fixed this in version 1.4.0. See #233. Check out [this Gist](https://gist.github.com/tfausak/72bf689fb1c9ac9bdf65) for a complete working example. 
izuzero/xe-module-ajaxboard,ioz2014,IssueCommentEvent,"정정합니다. cpage 이동시에는 새로고침이 되지 않지만 삭제시에는 페이지가 넘어갑니다.
http://php.raonnet.com/index.php?mid=test&document_srl=170"
jim618/multibit,bitcoin-solutions,IssueCommentEvent,"It looks like it is covered by this issue:
https://multibit.org/en/help/v0.5/help_support_missingWallets.html"
laravel/framework,ibrasho,IssueCommentEvent,My apology... I think #6863 contained this update.
pouchdb/pouchdb,daleharvey,IssueCommentEvent,"Sweet thanks

https://github.com/pouchdb/pouchdb/commit/6a78fd4ccf81acccbac063b07e80b95f70fa99f0"
rlf/uSkyBlock,rlf,IssueCommentEvent,"The actual failing challenges.yml would help me.
It seems that the displayItem element is not valid."
lemire/javaewah,lemire,IssueCommentEvent,We should change the benchmark so that the mapped bitmaps are actually on disk... this would give us the most realistic test possible.
progit/progit2,ben,IssueCommentEvent,Nice. Thanks!
scipy/scipy,argriffing,PullRequestReviewCommentEvent,spelling
NixOS/nixpkgs,peti,IssueCommentEvent,I'm running test builds at http://hydra.cryp.to/jobset/nixpkgs/haskell-updates ...
ghiden/angucomplete-alt,trangchuvn,IssueCommentEvent,Thank for your help :+1: 
CienProject2014/OneLevelHero,yuinacor,PullRequestReviewCommentEvent,이 값은 LivingUnit만 가지는 값인가요?
libretro/RetroArch,twinaphex,IssueCommentEvent,Can you try again from source?
stefanjudis/perf-tooling,marcobiedermann,IssueCommentEvent,"@benschwarz Thank you. If you want, you can create a pull request. You will be added to our contributors list :)"
bolt/bolt,rarila,IssueCommentEvent,@carmelg there's perhaps a solution to be found [here](https://github.com/bolt/bolt/issues/2386#issuecomment-68487148)
civicrm/civicrm-core,monishdeb,IssueCommentEvent,test this please
unixorn/awesome-zsh-plugins,voronkovich,IssueCommentEvent,"Ok, I did it. Try again."
cakephp/docs,markstory,PullRequestReviewCommentEvent,Extra C in the method name here.
chocolatey/chocolateytemplates,ferventcoder,IssueCommentEvent,Can we safely close this one now?
NixOS/nixpkgs,shlevy,IssueCommentEvent,Build of `proot.src` worked fine. Testing `proot` now...
libretro/RetroArch,twinaphex,IssueCommentEvent,Yeah this is a known issue. I mentioned it to kivutar a couple of times.
atheme/charybdis,grawity,IssueCommentEvent,@Argure That sounds like a rather good reason?
Semantic-Org/Semantic-UI,vinz243,IssueCommentEvent,"Perhaps it will be blocked only in DNS so using OpenDNS might bypass the issue, no? Or there is still the VPN solution. "
civicrm/civicrm-core,monishdeb,IssueCommentEvent,Closed in favor of https://github.com/civicrm/civicrm-core/pull/4816
MinecraftForge/MinecraftForge,RainWarrior,IssueCommentEvent,"> trove doesn't have a custom ObjectObject map

http://trove4j.sourceforge.net/javadocs/gnu/trove/map/hash/TCustomHashMap.html"
caskroom/homebrew-cask,ndr-qef,IssueCommentEvent,Thanks.
lervag/vim-latex,mmisono,IssueCommentEvent,"I tested `:VimLatexCompile` and `:VimLatexView` with `let g:latex_latexmk_options = '-pdfdvi'` and it worked properly.
(I also checked `let g:latex_toc_split_pos = 'topleft'` and TOC space width. They both were OK.)

Thank you very much."
owncloud/shorty,arkascha,IssueCommentEvent,https insecure element warning is tracked separately in issue #87 now. 
OpenSCAP/foreman_openscap,ohadlevy,IssueCommentEvent,opened by mistake...
TTMTT/iCL0udin,MohammedNawar,IssueCommentEvent,@TTMTT  can u make permission only for specific ip numbers?
hughsie/libhif,cgwalters,IssueCommentEvent,(Split this out anyways)
rails/rails,waratuman,IssueCommentEvent,"Perhaps I'm not being clear. The `update_column` method is not treating values like ruby land input.

For example with `PgArray` from above the following is from ruby land input:

    x = PgArray.new
    x.tags = '{1}'
    x.tags # => [1]

I'd expect `update_column` to behave the same way but it does not because values never get sent to the type_cast_from_user. Maybe there is something I'm missing, but not sure what it is."
pouchdb/pouchdb,daleharvey,IssueCommentEvent,Looks good to me https://github.com/pouchdb/pouchdb/commit/e99ce4fa03dded9687bf3ab71717ccf0dddb54ae
bolt/bolt,lucasfecko,IssueCommentEvent,"The version of Bolt I am using is 2.0.2. I still have the old table, should I create dumps of both tables and post them? Or is there any way to post just database schema? I just checked the bolt_entires tables in both databases and structure and table information seems the same, InnoDB as engine, encoding: utf8."
SteamDatabase/SteamDatabase,xPaw,IssueCommentEvent,"Well you can try increasing timeouts and pool size. If you feel adventurous, you can try debugging and see if this happens at some specific place."
matthiasnoback/symfony-service-definition-validator,xabbuh,IssueCommentEvent,And Travis now won't try to build with Symfony 3 on PHP 5.3 and PHP 5.4.
seenthis/seenthis_squelettes,Fil,IssueCommentEvent,"Ce serait assez horrible en termes d'UI. Je dirais plutôt, dans les
préférences de notifications, ajouter un choix distinguant mes messages de
ceux que j'ai partagés.
>
>"
hotosm/osm-tasking-manager2,pierzen,IssueCommentEvent,"Yes the purpose is to emphasize , warn, show button styles for menu links to the wiki page for example.
See http://tasks.hotosm.org/project/469/edit

We did show buttons at the top, use emphasize paragraphs. A job is not static. We sometimes modify the instructions, warn contributors about an important aspect, etc.

These options were lost with the later implementation of V2, but you should see the effect copy/pasting the code in a HTML editor.
"
goldfire/howler.js,gre,IssueCommentEvent,"Thanks for this v2, it works quite smooth on my current game, 3D audio is a blast, very impressive result.

I have feedbacks in term of API, I don't find it very easy and straightforward to use `audioId` that you have to pass in to all functions:

```javascript
var audioId = howl.play();
howl.pos(x, y, z, audioId);
howl.velocity(vx, vy, vz, audioId);
```

I don't know what are the reason behind but I I think it would be simpler to have an object returned like:

```javascript
var soundInstance = howl.play();
soundInstance.pos(x, y, z);
soundInstance.velocity(vx, vy, vz);
```


Also, it would be great to be able to do this:

```javascript
var soundInstance = howl.play({ pos: [x,y,z], velocity: [vx,vy,vz] });
```

That would make it more obvious (and maybe on your side have more guarantee) that the play() will start at a given **pos** and **velocity** (and no click / jump after starting the sound – if you happen to have this bug in the future, the current API make it impossible to fix that because you play before setting pos and velocity).

Also, in general, my proposal could be a way to unify the API of the listener, the group and a sound instance:

```javascript
// 3 use-cases, same API
howl.pos(x, y, z);
soundInstance.pos(x, y, z);
Howler.pos(x, y, z); // like current, but ideally I think something like: `Howler.listener.pos(...)` would be more straightforward that you basically set the position of the microphone.
```

Thanks"
Glavin001/Coffee-Formatter,Glavin001,IssueCommentEvent,"Nope, wrong! https://github.com/Glavin001/Coffee-Formatter/blob/master/package.json#L32"
fpco/stackage,snoyberg,IssueCommentEvent,Cool thanks.
GuyMicciche/SuperNWTBible,robertkjr3d,IssueCommentEvent,"Ok I restored from a back-up and found this issue: Now that it is 1/1/2015, it searches for today's text (don't know why, I didn't ask for it...) and in the Android Debugger, it reports it can't find today's text.  So I manually edited the dailyText.xml file in the /data/data/ directory so it read as today... and it finally came up, and begin to work.  The downloader for the files is not working.  In another thread, I'm attempting to build the project myself, to fix these issues."
pyload/pyload,Mister-XY,IssueCommentEvent,ok
foss-np/batti,neetin,IssueCommentEvent,"It is working now. Dependencies should be written in README.md file.
Thanks!"
SpigotMC/BungeeCord,xxyy,IssueCommentEvent,"@Schmoller This is already implemented similarly in #1127  - I would appreciate if you left a supporting comment there though, or described why your PR is superior to mine."
github/linguist,arfon,IssueCommentEvent,:+1: thanks!
TrinityCore/TrinityCore,funjoker,PullRequestReviewCommentEvent,thanks.
jquery/jquery,mzgol,PullRequestReviewCommentEvent,"I see the rest of this file has incorrect spacing as well, though (our fault) so you don't have to change it if you don't want to now."
rlf/uSkyBlock,rlf,IssueCommentEvent,`/usb delete`  has been moved in under the `/dev island delete` along with remove and other island related commands.
ncuesta/dropzonejs-rails,ncuesta,PullRequestReviewCommentEvent,This kind of references will most certainly be broken on production environments. Have you tried this in production? Using `image-url(...)` is the way to go when using Sprockets.
thombergs/wicked-charts,awronski,IssueCommentEvent,"Workaround:

JavaScriptResourceRegistry.getInstance().setHighchartsReference(""//code.highcharts.com/3.0.2/highcharts.js"");

"
nvkzNemo/UberSplash,MyTheValentinus,IssueCommentEvent,Ok too bad thank for all :)
TTMTT/iCL0udin,MohammedNawar,IssueCommentEvent,"f you wish to restrict access to portions of your site based on the host address of your visitors, this is most easily done using mod_authz_host.

The Allow and Deny directives let you allow and deny access based on the host name, or host address, of the machine requesting a document. The Order directive goes hand-in-hand with these two, and tells Apache in which order to apply the filters.

The usage of these directives is:

Allow from address

where address is an IP address (or a partial IP address) or a fully qualified domain name (or a partial domain name); you may provide multiple addresses or domain names, if desired.

For example, if you have someone spamming your message board, and you want to keep them out, you could do the following:

Deny from 10.252.46.165 "
vanilla-music/vanilla,aminb,IssueCommentEvent,"Hey, no worries.

That's awesome thanks for adiitional changes and tidying it up!"
NixOS/nixpkgs,shlevy,IssueCommentEvent,"Re: nix requirement, we have a policy of allowing a dependency on the nix version used in the most recent stable branch I thought. But we can limit it to fetchgit if you want."
rails/rails,sgrif,IssueCommentEvent,`type_cast_from_user` is form input not ruby-land. 
quintusdias/glymur,quintusdias,IssueCommentEvent,"Can consolidate some common ""NR_broken"" tests spread out amongst ``test_opj_suite`` and ``test_glymur_warnings``"
pouchdb/pouchdb,daleharvey,IssueCommentEvent,"Crap sorry should have caught that 

https://github.com/pouchdb/pouchdb/commit/8d0cfd444f2e2f19f35d447508631851cf360140"
cvrebert/mq4-hover-hover-shim,patrickhlauke,IssueCommentEvent,"> There's no explicit or implicit ""primary pointer changed"" event in any spec that we could listen for.

indeed...mainly because win8 considers input equipotent, rather than trying to classify them as primary, secondary, etc. but, as i said, this is more an issue with the entire MQ4 hover approach than with your specific shim."
mitsuhiko/flask,noirbizarre,IssueCommentEvent,"Yes, I know, but it's actually not working ().
I provided a test case with ``is_registered``, but for the original ``_got_registered_once`` you can test with:
```python
bp1 = Blueprint('bp1', __name__)
bp2 = Blueprint('bp2', __name__)

assert not bp1._got_registered_once
assert not bp2._got_registered_once

app = Flask(__name__)
app.register_blueprint(bp1)

assert bp1._got_registered_once
assert not bp2._got_registered_once  # Fails
```"
NixOS/nixpkgs,peti,IssueCommentEvent,"@cstrahan, could you please rebase this branch relative to `master` and force push the update?"
rubensworks/EvilCraft,rubensworks,IssueCommentEvent,Ok awesome. Could you squash your commits in here once you are finished? I prefer to have changes to things grouped in one nice commit :)
KeenS/CIM,KeenS,IssueCommentEvent,This bug didn't occur on my environment. could you give me more precise reproduction code?
Glavin001/atom-beautify,Glavin001,IssueCommentEvent,"Found the problem! https://github.com/Glavin001/Coffee-Formatter/blob/master/package.json#L32
It points to the wrong repo URL and also does not properly build from the litcoffee into JS."
assaf/zombie,dperini,IssueCommentEvent,"Based on past reports in both ´nwmatcher´ and ´jsdom´ I believe this may be due to a document missing the root HTML element (documentElement), which is mandatory for a DOM selector engine.

Have a look here (nwmatcher): https://github.com/dperini/nwmatcher/pull/83

and also here (jsdom): https://github.com/tmpvar/jsdom/issues/555

Hope these links can help fix it.
"
izuzero/xe-module-ajaxboard,ioz2014,IssueCommentEvent,"감사합니다^^ 사용자들이 효과음 여부, 프로필사진-파비콘 여부를 설정하게 된다면 정말 좋을 것 같네요"
